attackerX,attackerY,victimSide,victimX,victimY
-817.540588378906,-707.497741699219,CT,-385.700653076172,-582.776062011719
-503.51513671875,-496.001251220703,CT,209.10954284668,-1015.29431152344
-381.886291503906,-520.236450195312,CT,-338.876770019531,-1044.21997070312
-498.012664794922,-551.611938476562,CT,325.324981689453,-369.758209228516
-2402.375,-537.786071777344,CT,-1944.13208007812,-916.654418945312
-1110.83569335938,-608.791076660156,CT,-1110.61706542969,-742.50830078125
-1099.32043457031,-599.53515625,CT,-1018.07885742188,-1030.283203125
-1128.92590332031,-587.856262207031,CT,-1022.78698730469,-1031.50988769531
-1120.48693847656,-606.284790039062,CT,-1022.73907470703,-1031.50183105469
-1117.82507324219,-605.593627929688,CT,-1022.73907470703,-1031.50183105469
-1078.17932128906,-591.367980957031,CT,-1170.58142089844,-806.148010253906
-802.720336914062,-387.914489746094,CT,-866.139465332031,-639.389892578125
-789.835205078125,-422.943725585938,CT,-847.458984375,-642.627258300781
-752.16455078125,-513.639709472656,CT,-803.782165527344,-669.055480957031
-763.386657714844,-533.169677734375,CT,-790.237243652344,-680.181335449219
-3381.7236328125,383.517028808594,CT,-3083.40893554688,-124.308906555176
-1112.72204589844,-604.356506347656,CT,-1114.13488769531,-1134.07165527344
-2603.80346679688,107.385620117188,CT,-2468.70532226562,291.148559570312
-2495.29931640625,363.669677734375,CT,-2035.40100097656,-128.638214111328
-2224.98608398438,325.134735107422,CT,-2157.92065429688,-916.870361328125
-3171.14599609375,-623.759643554688,CT,-2943.552734375,-444.051818847656
-3167.4501953125,-623.335021972656,CT,-2939.21411132812,-449.950103759766
-3167.98168945312,-623.550170898438,CT,-2935.7275390625,-455.404663085938
-3168.8564453125,-623.948608398438,CT,-2934.43408203125,-457.409027099609
-2024.05261230469,128.473678588867,CT,-2421.30712890625,-221.237091064453
-2842.14697265625,-1155.24243164062,CT,-2616.009765625,-1694.3271484375
-2843.0888671875,-1156.71228027344,CT,-2616.17016601562,-1694.37817382812
-2845.21337890625,-1157.703125,CT,-2616.17016601562,-1694.37817382812
-2847.8544921875,-1158.83984375,CT,-2619.26049804688,-1695.40380859375
-1853.47814941406,-1334.18981933594,CT,-1732.20080566406,-1496.82104492188
-1851.20764160156,-1333.49279785156,CT,-1730.90185546875,-1501.86560058594
-2432.37036132812,1835.24890136719,CT,-2343.26293945312,41.3908615112305
-864.630004882812,-217.40153503418,CT,-766.780578613281,-410.935241699219
-848.983947753906,-209.469589233398,CT,-773.717834472656,-412.762115478516
-839.681335449219,-208.228652954102,CT,-777.162719726562,-414.425140380859
-859.196716308594,-320.794342041016,CT,-828.011535644531,-521.739440917969
-2468.05786132812,-1009.06286621094,CT,-2977.31005859375,-1399.28918457031
-2469.43310546875,-1007.21752929688,CT,-2977.93383789062,-1398.45666503906
