attackerX,attackerY,victimSide,victimX,victimY
-2703.69799804688,-1610.61218261719,T,-1818.27905273438,-2267.23291015625
-2915.1484375,-1417.24829101562,T,-1874.203125,-2257.90576171875
-2577.73510742188,-1236.28186035156,T,-2701.45629882812,-1687.52612304688
-2281.41552734375,-762.493347167969,T,-2754.85815429688,-1749.35009765625
-2070.32861328125,-1327.80725097656,T,-1979.43310546875,-1327.24157714844
-2069.91430664062,-1327.9970703125,T,-1965.28100585938,-1311.8544921875
-2069.25927734375,-1327.27465820312,T,-1966.19421386719,-1292.71704101562
-2067.98315429688,-1325.91638183594,T,-1963.6240234375,-1297.90576171875
-2101.41528320312,911.864990234375,T,-2606.72216796875,25.7291584014893
-2088.7919921875,904.678588867188,T,-2561.314453125,71.4029541015625
-2786.22583007812,121.435539245605,T,-2115.39086914062,569.203186035156
-2786.19970703125,122.497779846191,T,-2123.43041992188,574.570983886719
-2786.19970703125,122.497779846191,T,-2132.84912109375,565.901062011719
-2791.08618164062,127.519943237305,T,-2057.43334960938,593.442810058594
-1884.8134765625,947.340942382812,T,-2042.82299804688,598.884216308594
-1966.9814453125,979.966735839844,T,-2020.96875,621.635131835938
-2438.16259765625,853.859130859375,T,-3154.6904296875,452.603790283203
-2440.31958007812,857.387268066406,T,-3154.90698242188,456.319580078125
-2497.41870117188,948.636474609375,T,-3156.09423828125,458.956359863281
-2469.97778320312,882.53369140625,T,-3142.55419921875,441.546936035156
-2214.52368164062,-253.986068725586,T,-2378.01708984375,-1275.23559570312
-2241.388671875,-229.146789550781,T,-2361.40454101562,-1263.20690917969
-2204.87475585938,-23.5530433654785,T,-2308.40380859375,-975.766784667969
-2205.38037109375,-24.0447425842285,T,-2306.119140625,-975.432800292969
-2198.4423828125,-24.9182872772217,T,-2312.60400390625,-974.883728027344
-2180.11157226562,-38.2598495483398,T,-2365.50830078125,-970.646545410156
-2248.07006835938,-28.3560218811035,T,-2254.908203125,-1138.74963378906
-2249.66577148438,-28.3757553100586,T,-2272.34423828125,-1136.47827148438
-2370.46997070312,-22.1855850219727,T,-2200.1650390625,-496.548553466797
-2370.46997070312,-22.1855850219727,T,-2214.958984375,-502.677337646484
-2370.46997070312,-22.1855850219727,T,-2214.74975585938,-502.691284179688
-2369.88037109375,-22.0077133178711,T,-2201.23193359375,-497.982757568359
-2442.82055664062,391.016540527344,T,-2266.45166015625,-533.195678710938
-2441.9833984375,391.184783935547,T,-2273.43676757812,-534.997924804688
-2762.74853515625,330.173400878906,T,-2179.82934570312,-379.27978515625
-2023.07775878906,-808.007202148438,T,-2035.62646484375,-921.607788085938
-2023.44348144531,-808.138549804688,T,-2041.12280273438,-924.925170898438
-2008.38146972656,-809.215637207031,T,-2063.6689453125,-931.986633300781
-2325.66577148438,-1270.06408691406,T,-1999.26147460938,-1327.99353027344
-2324.79125976562,-1267.50866699219,T,-1997.81628417969,-1327.99353027344
-2971.83374023438,465.054748535156,T,-3874.22680664062,-713.561889648438
-3002.53100585938,490.2958984375,T,-3673.4892578125,-455.404296875
-3002.0703125,489.985778808594,T,-3878.93725585938,-694.762390136719
-3326.07690429688,-2198.5849609375,T,-3941.42822265625,-1311.30102539062
-3326.07690429688,-2198.5849609375,T,-3940.81518554688,-1310.86157226562
-3922.51977539062,-1198.73181152344,T,-3467.48779296875,-2238.56396484375
-3901.640625,-1189.50170898438,T,-3485.72485351562,-2240.46533203125
-2142.67138671875,-653.261779785156,T,-3052.31713867188,-1757.91845703125
-2501.33862304688,-766.180847167969,T,-3007.98779296875,-1737.11975097656
-2501.68505859375,-766.836975097656,T,-3008.55297851562,-1736.77392578125
-2501.68505859375,-766.836975097656,T,-3007.35034179688,-1737.39111328125
-2501.68505859375,-766.836975097656,T,-2997.19921875,-1742.69006347656
