attackerX,attackerY,victimSide,victimX,victimY
-1022.16284179688,-1357.36486816406,T,-78.040412902832,-2121.00512695312
-1022.16284179688,-1357.36486816406,T,-100.014122009277,-2136.60717773438
-1022.16284179688,-1357.36486816406,T,-116.90576171875,-2158.61474609375
-1088.34252929688,-2440.60180664062,T,-482.0625,-2155.603515625
-1059.57751464844,-2500.04565429688,T,-475.436798095703,-2171.0400390625
-805.882141113281,-1370.08447265625,T,-741.116394042969,-2298.12866210938
-805.882141113281,-1370.08447265625,T,-748.812255859375,-2303.09765625
-806.756469726562,-1370.17602539062,T,-762.377685546875,-2307.39233398438
-566.200439453125,-1317.68627929688,T,-620.961791992188,-2165.94506835938
-563.809997558594,-1317.82556152344,T,-620.961791992188,-2165.94506835938
-560.969299316406,-1318.01525878906,T,-620.961791992188,-2165.94506835938
-525.880981445312,-1448.64538574219,T,-206.730926513672,-2339.42236328125
-521.60546875,-1436.14575195312,T,-606.162841796875,-2299.130859375
11.9135465621948,-1595.52355957031,T,-609.087463378906,-2298.85375976562
-522.806579589844,-1436.04528808594,T,-615.439270019531,-2297.82250976562
2.63392305374146,-1593.66186523438,T,-620.642883300781,-2294.76977539062
-592.785339355469,-2438.50659179688,T,-1108.32983398438,-2279.89575195312
-593.46240234375,-2435.083984375,T,-1106.15478515625,-2272.17822265625
-592.814086914062,-2431.275390625,T,-1104.41650390625,-2266.40478515625
-591.681701660156,-2427.04248046875,T,-1100.8076171875,-2260.63842773438
-590.956359863281,-2424.51196289062,T,-1097.57995605469,-2255.71557617188
-326.497650146484,-2214.07421875,T,-1078.669921875,-2443.27709960938
-373.198211669922,-2198.91748046875,CT,-771.489501953125,-2361.00366210938
-878.453002929688,-2267.916015625,T,-1024.2470703125,-2469.24536132812
-871.363891601562,-790.611267089844,T,-1047.47937011719,-52.6612701416016
-759.674194335938,-2103.45068359375,T,86.497314453125,-1443.03942871094
-759.674194335938,-2103.45068359375,T,81.9829864501953,-1437.20825195312
-759.674194335938,-2103.45068359375,T,81.4572830200195,-1436.47888183594
-780.486572265625,-2071.01147460938,T,91.7242431640625,-1448.78332519531
-780.9404296875,-2070.36865234375,T,90.9722213745117,-1447.83166503906
-538.770629882812,-1433.69006347656,T,69.1705474853516,-2268.52294921875
-538.604125976562,-1433.56921386719,T,63.2269630432129,-2272.85668945312
-538.072692871094,-1433.17858886719,T,58.0059509277344,-2276.65283203125
310.066558837891,249.609359741211,T,585.657348632812,668.328491210938
310.066558837891,249.609359741211,T,582.206359863281,658.984924316406
307.467376708984,251.306060791016,T,579.699951171875,651.237426757812
1326.60192871094,359.680603027344,T,1314.51965332031,-1392.90393066406
-760.350402832031,7.28118658065796,T,-1970.17126464844,629.96875
-2367.99267578125,-367.459686279297,T,-2008.10583496094,160.379669189453
-2155.4423828125,-178.936401367188,T,-1943.04431152344,629.981567382812
-2155.4423828125,-178.936401367188,T,-1943.04431152344,629.981567382812
-2155.4423828125,-178.936401367188,T,-1943.04431152344,629.981567382812
-751.422546386719,57.9768409729004,T,-1943.04431152344,629.981567382812
-2117.26904296875,257.428344726562,T,-1986.39672851562,666.531677246094
-2120.12524414062,258.356323242188,T,-1991.25769042969,662.883728027344
-2119.55444335938,257.975341796875,T,-1990.94775390625,666.194641113281
-2120.47583007812,258.280181884766,T,-1991.29113769531,666.305725097656
-1546.296875,553.070739746094,T,-1613.3203125,-27.9291381835938
-1313.267578125,792.725219726562,T,-1523.75573730469,763.499755859375
-1314.36450195312,790.943908691406,T,-1520.78515625,761.970275878906
-1314.01818847656,788.620910644531,T,-1515.73413085938,755.460388183594
-2057.986328125,-619.488708496094,T,-1630.65014648438,736.404479980469
-2052.07568359375,-621.289001464844,T,-1643.93212890625,739.819030761719
-430.182708740234,-2280.61669921875,T,-859.097473144531,78.4799880981445
-980.190734863281,-769.841857910156,T,-979.56201171875,355.391845703125
-880.80078125,-2328.28369140625,T,61.4816627502441,-1711.95520019531
-880.841064453125,-2328.22192382812,T,61.4816627502441,-1711.95520019531
-903.902099609375,-2349.84326171875,T,247.570190429688,-1548.05346679688
-654.427978515625,-2446.95727539062,T,-311.425079345703,-1570.77722167969
-654.427978515625,-2446.95727539062,T,-309.691070556641,-1571.36633300781
-654.427978515625,-2446.95727539062,T,-311.1591796875,-1570.76904296875
-654.427978515625,-2446.95727539062,T,-313.090637207031,-1569.98364257812
-716.770324707031,-2400.23583984375,T,-118.363868713379,-1458.01110839844
-716.6630859375,-2400.20263671875,T,-125.537727355957,-1454.21069335938
-716.6630859375,-2400.20263671875,T,-126.543533325195,-1453.68981933594
-716.6630859375,-2400.20263671875,T,-122.428886413574,-1456.05004882812
-1011.73712158203,-2381.41723632812,T,-184.402282714844,-2158.92309570312
-1116.93676757812,-1423.89245605469,T,-249.940734863281,-1562.44873046875
-792.952270507812,-913.161987304688,T,-90.2703475952148,-367.222045898438
-536.56396484375,-1441.5703125,T,97.4445648193359,-2314.892578125
-1013.07196044922,-2487.4697265625,T,278.023254394531,-1518.16845703125
-637.323059082031,-1646.92858886719,T,-230.659317016602,-1727.64868164062
-773.279357910156,-2101.08813476562,T,-6.72019720077515,-1567.66455078125
-902.316955566406,14.7945499420166,T,-428.506256103516,-716.837463378906
-902.316955566406,14.7945499420166,T,-452.768585205078,-723.398376464844
-902.316955566406,14.7945499420166,T,-476.939666748047,-730.357788085938
-902.316955566406,14.7945499420166,T,-501.110748291016,-737.317199707031
-2329.7373046875,770.0400390625,T,-1353.44982910156,768.916809082031
-943.824584960938,-777.919921875,T,-1031.41430664062,160.444442749023
-2375.91333007812,717.080627441406,T,-1078.16052246094,718.674621582031
-748.080749511719,-2145.66943359375,T,-701.263000488281,-938.516052246094
-748.080749511719,-2145.66943359375,T,-703.215515136719,-947.435852050781
-1144.83325195312,-697.601013183594,T,-352.858795166016,-427.812072753906
-823.077758789062,-388.445129394531,T,-217.268341064453,-439.710266113281
-795.53173828125,-927.27685546875,T,-216.091094970703,-449.703247070312
-683.613891601562,-709.650207519531,T,492.347290039062,-482.13330078125
-2176.09375,265.220764160156,T,-1671.33276367188,821.53369140625
-993.790832519531,166.672149658203,T,-1791.02014160156,636.571411132812
-994.672180175781,165.226348876953,T,-1799.49865722656,619.311889648438
-994.672180175781,165.226348876953,T,-1824.22766113281,568.971618652344
-2139.36254882812,11.3337736129761,T,-1974.97717285156,468.249603271484
-1856.76318359375,-442.808776855469,T,-2151.86547851562,756.610900878906
-1325.84545898438,395.890960693359,T,-2117.04028320312,634.47119140625
-1325.91528320312,395.932495117188,T,-2117.74194335938,633.396301269531
-1325.91528320312,395.932495117188,T,-2117.60864257812,633.834655761719
-1325.91528320312,395.932495117188,T,-2117.74633789062,633.374145507812
-756.349182128906,60.5402069091797,T,-2496.70532226562,322.309875488281
-1356.6806640625,511.021423339844,T,-2410.650390625,112.067276000977
-1175.73669433594,-671.982360839844,T,-290.807708740234,-661.9306640625
-798.727478027344,-2233.05200195312,T,-707.541320800781,-1218.01159667969
-798.727478027344,-2233.05200195312,T,-715.359741210938,-1143.43774414062
-810.150268554688,-2238.08544921875,T,-496.03125,-1418.97180175781
-611.386535644531,-355.593414306641,T,-1165.720703125,-745.98291015625
-1237.73962402344,-1225.857421875,T,-414.944030761719,-1855.20336914062
-1185.83898925781,-2500.90112304688,T,81.6984252929688,-1719.99108886719
-904.998352050781,-287.100250244141,T,-350.863586425781,-412.6044921875
-755.8037109375,292.979522705078,T,-772.699157714844,-298.903686523438
-2098.05249023438,-587.407775878906,T,-1428.966796875,532.985778808594
-2620.98291015625,429.354217529297,T,-1956.01721191406,774.071899414062
-2029.44470214844,-564.148559570312,T,-1597.38293457031,836.023498535156
-1896.21667480469,423.12548828125,T,-2082.69116210938,475.990295410156
-2290.0712890625,-527.243041992188,T,-2320.37939453125,110.68480682373
-296.322479248047,-2171.220703125,T,12.8355178833008,-2158.92333984375
-296.353576660156,-2170.63403320312,T,6.76392364501953,-2157.63745117188
-296.399169921875,-2169.59448242188,T,2.49506020545959,-2157.61181640625
-149.944488525391,-2159.81103515625,T,86.254524230957,-2155.20874023438
-860.670593261719,-49.5814971923828,T,-616.306884765625,-1324.91333007812
