attackerX,attackerY,victimSide,victimX,victimY
-2198.90234375,-313.428924560547,T,-2322.9814453125,-504.000091552734
-2655.74438476562,1595.35266113281,T,-2020.50085449219,1139.47338867188
-2653.69262695312,1598.22412109375,T,-2020.30187988281,1139.75061035156
-2681.1533203125,1571.16711425781,T,-2640.39721679688,1370.04821777344
-1184.89050292969,-258.046813964844,T,-593.700439453125,29.9385738372803
-1251.76501464844,-227.351043701172,T,-575.094055175781,-16.6475162506104
-1244.21630859375,-250.425094604492,T,-574.766967773438,-17.6401081085205
-1964.83068847656,-347.491180419922,T,-372.991363525391,25.4430999755859
-1159.42175292969,299.615417480469,T,-924.383728027344,-410.688598632812
-1375.21447753906,116.809143066406,T,-1270.89196777344,263.360076904297
-1370.76086425781,113.980308532715,T,-1324.95654296875,268.897277832031
-1753.3359375,723.820373535156,T,-2049.08911132812,250.540130615234
-1794.39013671875,829.10546875,T,-2042.11401367188,247.051574707031
-1794.39013671875,829.10546875,T,-2095.94653320312,189.359619140625
-1754.923828125,719.358947753906,T,-2103.53051757812,192.636413574219
-1766.89562988281,697.199951171875,T,-2107.462890625,194.397537231445
-1819.69165039062,627.107116699219,T,-2106.85498046875,192.042205810547
-2423.01904296875,294.91064453125,T,-2142.0244140625,-1024.494140625
-2430.31860351562,293.425872802734,T,-2151.91674804688,-1024.46130371094
-2430.24438476562,293.442260742188,T,-2152.39672851562,-1024.53149414062
-2430.24438476562,293.442260742188,T,-2147.72705078125,-1023.58142089844
-2707.73657226562,383.611206054688,T,-2437.93969726562,-849.167297363281
-2712.77709960938,382.465759277344,T,-2435.26123046875,-848.438110351562
-1931.63781738281,1012.91735839844,T,-2568.67846679688,374.344970703125
-1928.55895996094,1010.58502197266,T,-2578.591796875,388.358428955078
-1926.9873046875,1008.96606445312,T,-2580.20727539062,390.434326171875
-1925.3447265625,1007.26489257812,T,-2578.5439453125,388.766174316406
-1923.265625,1005.0830078125,T,-2576.56005859375,386.757934570312
-1966.20715332031,970.765197753906,T,-2477.59497070312,1031.21826171875
-3231.71728515625,-783.055541992188,T,-3535.7109375,-749.1669921875
-3231.7509765625,-783.4326171875,T,-3534.2119140625,-749.085632324219
-1916.20275878906,-906.173461914062,T,-1734.06481933594,-1268.27844238281
-2325.44653320312,380.046722412109,T,-2709.38842773438,-166.80827331543
-2467.6865234375,1028.86938476562,T,-3051.71337890625,593.22802734375
-2336.97924804688,388.460815429688,T,-2707.34375,-168.454895019531
-2794.63818359375,571.142456054688,T,-2879.92822265625,671.624938964844
-2226.26611328125,-516.6708984375,T,-2662.17456054688,655.932922363281
-2226.62036132812,-516.802185058594,T,-2658.9755859375,673.46630859375
-1690.00012207031,-1062.54968261719,T,-1825.71948242188,-1525.57678222656
-1256.6591796875,-209.271347045898,T,-903.847595214844,-398.179565429688
-1256.6591796875,-209.271347045898,T,-902.254455566406,-394.804107666016
-1256.6591796875,-209.271347045898,T,-901.101013183594,-392.312927246094
-1256.6591796875,-209.271347045898,T,-902.662292480469,-395.249664306641
-1256.6591796875,-209.271347045898,T,-902.269348144531,-394.478271484375
-1260.19018554688,-207.397613525391,T,-899.264099121094,-388.824432373047
-487.059906005859,-452.877288818359,T,-617.049560546875,-69.4417190551758
-3503.26025390625,-1639.36010742188,T,-3377.38793945312,-2218.44873046875
-3500.76098632812,-1638.81372070312,T,-3375.00439453125,-2217.95190429688
-3452.4677734375,-1872.81433105469,T,-3588.771484375,-824.957336425781
-3452.11767578125,-1872.76843261719,T,-3593.53930664062,-824.980651855469
-3452.11767578125,-1872.76843261719,T,-3597.39575195312,-813.453063964844
-3447.3603515625,-1872.12084960938,T,-3600.54223632812,-793.541809082031
-2607.97216796875,-159.393951416016,T,-2351.51220703125,-576.703186035156
-2601.8916015625,-155.183853149414,T,-2347.9306640625,-574.689514160156
-2595.40502929688,-150.996307373047,T,-2345.82641601562,-573.512817382812
-2589.9189453125,-147.613021850586,T,-2344.14794921875,-572.636657714844
-2440.07836914062,-4.69380903244019,T,-2165.80126953125,-506.457397460938
-2916.61010742188,-1650.841796875,T,-1740.32470703125,-2353.10009765625
-934.272277832031,-529.444702148438,T,-1675.1650390625,-600.306091308594
-870.786987304688,-401.328369140625,T,-1455.2958984375,-852.411743164062
-1803.54602050781,92.0239715576172,T,-2050.12573242188,246.487503051758
-1803.33251953125,93.7792358398438,T,-2046.27099609375,246.391128540039
-913.002502441406,166.951766967773,T,-505.166839599609,-228.488952636719
-1022.65960693359,154.633819580078,T,-279.669464111328,84.7677993774414
-1549.37927246094,77.0423812866211,T,-287.999145507812,252.047119140625
-943.958312988281,-500.148712158203,T,-1806.28454589844,-927.585693359375
-942.319458007812,-503.368255615234,T,-1806.28454589844,-927.585693359375
-942.104919433594,-503.805236816406,T,-1806.28454589844,-927.585693359375
-941.131225585938,-505.829925537109,T,-1806.412109375,-927.307983398438
-940.345520019531,-507.485229492188,T,-1806.3544921875,-927.427307128906
-2457.14916992188,-610.452087402344,T,-2537.07958984375,-929.953369140625
-2351.98608398438,-348.243530273438,T,-2306.11694335938,-317.995880126953
-2351.98608398438,-339.693481445312,T,-2304.67993164062,-313.525146484375
-2351.96875,-341.652648925781,T,-2301.36401367188,-319.392028808594
-2267.30078125,468.000823974609,T,-2453.49633789062,151.084060668945
-2681.55712890625,772.403747558594,T,-2509.61987304688,56.0325546264648
-2667.53369140625,775.380126953125,T,-2393.794921875,-115.085456848145
-2652.59814453125,778.668640136719,T,-2537.49536132812,67.3264465332031
-2415.36645507812,899.33447265625,T,-2416.255859375,148.311233520508
-1947.39306640625,983.815124511719,T,-2590.11962890625,486.171844482422
-1940.03247070312,972.870361328125,T,-2608.76538085938,510.356201171875
