attackerX,attackerY,victimSide,victimX,victimY
-709.9599609375,285.235626220703,T,-299.747863769531,-1489.99230957031
-504.141662597656,-129.158905029297,T,-509.608917236328,-395.607543945312
-1749.67236328125,349.453857421875,T,-701.021850585938,227.157989501953
-1747.37121582031,366.34521484375,T,-706.63818359375,208.461776733398
-1371.94909667969,-45.6974868774414,T,-1263.42053222656,332.554077148438
-1350.33142089844,43.2654495239258,T,-1247.00134277344,329.708068847656
-1908.38330078125,-427.538848876953,T,-1236.71618652344,327.194305419922
-1393.21728515625,-35.972599029541,T,-1235.96069335938,326.98046875
-1394.14721679688,-34.5726318359375,T,-1226.40625,323.277099609375
-1907.73840332031,-428.140960693359,T,-1224.94848632812,322.6318359375
-1395.849609375,-16.0552444458008,T,-1205.34033203125,312.006164550781
-1916.40344238281,-420.391510009766,T,-1050.13403320312,471.154632568359
-1913.3212890625,-423.38232421875,T,-1031.58288574219,452.982330322266
-1288.00988769531,113.546585083008,T,-1282.57995605469,-222.954223632812
-1981.33129882812,-568.602294921875,T,-1290.36804199219,487.321044921875
-1977.64599609375,-571.044250488281,T,-1277.35876464844,478.797302246094
-1986.96875,-564.778015136719,T,-1272.14807128906,475.376434326172
-2002.720703125,-525.000854492188,T,-1614.00158691406,-64.9732894897461
-742.234741210938,26.6315879821777,T,-1092.18139648438,-564.287475585938
-1153.64208984375,287.209167480469,T,-869.474243164062,-582.402160644531
-570.517211914062,-56.7599487304688,T,-563.606201171875,-334.488830566406
-570.820068359375,-54.125789642334,T,-563.549133300781,-334.106475830078
-571.742553710938,-53.6019859313965,T,-524.6669921875,-588.555053710938
-1061.95483398438,-254.879135131836,T,-868.3916015625,-585.166076660156
-1062.79223632812,-255.376449584961,T,-864.272888183594,-582.803466796875
-1065.77404785156,-257.119445800781,T,-863.874206542969,-582.599487304688
-1064.99658203125,-256.668579101562,T,-867.404907226562,-584.758422851562
-1064.99658203125,-256.668579101562,T,-871.23681640625,-587.068908691406
-2064.39282226562,1048.70495605469,T,-2293.56860351562,1324.87121582031
-2063.80786132812,1049.15576171875,T,-2290.00463867188,1324.31420898438
-2062.81689453125,1049.94946289062,T,-2287.470703125,1323.97192382812
-2061.40893554688,1051.0732421875,T,-2284.9921875,1323.60559082031
-2373.69360351562,1142.60729980469,T,-2260.78125,1321.61511230469
-2373.69360351562,1142.47607421875,T,-2260.78125,1321.61511230469
-2373.69360351562,1142.3740234375,T,-2260.78125,1321.61511230469
-1759.11022949219,-1251.79797363281,T,-1875.4267578125,-1817.28698730469
-1752.65539550781,-1258.77172851562,T,-1886.37268066406,-1814.9609375
-1748.68200683594,-1260.25048828125,T,-1886.49365234375,-1814.98217773438
-1736.15673828125,-1143.58288574219,T,-1890.66320800781,-1813.93200683594
-1757.32507324219,-1090.57104492188,T,-1899.72900390625,-1811.6884765625
-1735.763671875,-1095.13403320312,T,-1916.38061523438,-1808.06042480469
-1929.14184570312,-1261.37548828125,T,-2332.19067382812,-1282.72192382812
-1929.67211914062,-1250.98071289062,T,-2317.8876953125,-1298.25317382812
-2120.96533203125,-1285.75756835938,T,-2923.97119140625,-1232.00390625
-2119.4716796875,-1284.41625976562,T,-2923.90454101562,-1230.3115234375
-2115.45458984375,-1281.02233886719,T,-2923.78784179688,-1226.74145507812
-2113.09912109375,-1279.03466796875,T,-2923.67065429688,-1224.22351074219
-1736.87084960938,-1486.29162597656,T,-1739.46496582031,-1903.63757324219
-1737.2744140625,-1486.26306152344,T,-1744.42834472656,-1903.60681152344
-2660.78393554688,-1727.49743652344,T,-2022.60192871094,-1969.73901367188
-1568.2041015625,-873.260131835938,T,-1054.60949707031,-949.303466796875
-1568.033203125,-873.172058105469,T,-1055.84375,-946.965576171875
-1568.07116699219,-873.435241699219,T,-1056.11047363281,-944.430969238281
-1568.77014160156,-878.519287109375,T,-1056.29565429688,-945.638427734375
