attackerX,attackerY,victimSide,victimX,victimY
1122.28283691406,567.962890625,T,1194.43786621094,32.3376388549805
1092.46655273438,563.673095703125,T,1191.12829589844,31.8076171875
1122.71899414062,568.787536621094,T,1192.91259765625,31.249870300293
-671.602233886719,-877.571960449219,T,-639.946228027344,-1673.57202148438
-1222.92932128906,-2474.88403320312,T,-597.671081542969,-2200.68725585938
-698.012390136719,-893.814880371094,T,-600.377685546875,-1875.14477539062
-702.10205078125,-894.582275390625,T,-539.146545410156,-1867.91418457031
-522.845336914062,-1513.21484375,T,82.8467559814453,-2163.38989257812
-614.551086425781,-2424.13940429688,T,-387.551696777344,-1864.25158691406
-768.6396484375,-2020.83093261719,T,-489.370300292969,-1978.84387207031
-763.900390625,-1995.13879394531,T,-482.031280517578,-1994.16125488281
-511.4248046875,-2301.64892578125,T,-488.424407958984,-2009.21203613281
-581.729797363281,-888.916381835938,T,-1043.27978515625,-500.212188720703
-580.589660644531,-888.727783203125,T,-1043.22192382812,-502.989105224609
-580.589660644531,-888.727783203125,T,-1043.09497070312,-508.199310302734
-580.589660644531,-888.727783203125,T,-973.622314453125,-549.312194824219
-581.54150390625,-889.823547363281,T,-974.250671386719,-555.231323242188
-1247.99841308594,-478.950592041016,T,-1202.23388671875,-522.003295898438
-1247.99841308594,-479.124359130859,T,-1201.2978515625,-522.003295898438
-728.826049804688,-1446.10583496094,T,-624.280334472656,-764.756103515625
-725.71630859375,-1438.349609375,T,-625.528930664062,-770.051208496094
-2541.76879882812,267.971588134766,T,-1921.15649414062,730.987854003906
-2541.76879882812,267.971588134766,T,-1925.82482910156,734.392578125
-2541.76879882812,267.971588134766,T,-1930.37768554688,736.008239746094
-2541.76879882812,267.971588134766,T,-1933.75158691406,739.888244628906
-2550.76513671875,276.915618896484,T,-2027.08178710938,795.853149414062
-2551.41186523438,278.706298828125,T,-2022.09252929688,791.172302246094
-2550.84692382812,278.133758544922,T,-2019.40673828125,788.524047851562
-2535.93188476562,261.268249511719,T,-2325.57080078125,532.781860351562
-2321.91284179688,-404.332855224609,T,-2360.53686523438,527.3369140625
-2321.29931640625,-393.740417480469,T,-2359.599609375,526.988098144531
-2303.04150390625,-364.281219482422,T,-2353.3818359375,530.166381835938
-2299.69580078125,-359.648162841797,T,-2357.5107421875,531.042053222656
-2295.7080078125,-349.160308837891,T,-2366.54541015625,530.178588867188
-2295.93676757812,-321.311889648438,T,-2392.91357421875,522.384216308594
-779.597839355469,-1313.78649902344,T,-550.304382324219,-1664.10595703125
-778.543334960938,-1309.49621582031,T,-583.971130371094,-1765.14367675781
-779.117919921875,-1309.75708007812,T,-590.517333984375,-1766.35864257812
-736.210205078125,-1204.19421386719,T,-593.208190917969,-1766.91027832031
-806.11767578125,-1331.08740234375,T,-411.93212890625,-1919.31811523438
-706.244812011719,-1242.95812988281,T,-400.653015136719,-1913.67041015625
-801.091918945312,-1327.80517578125,T,-399.26611328125,-1912.86096191406
-798.195861816406,-1325.91455078125,T,-395.690490722656,-1910.66467285156
-709.994812011719,-1244.15637207031,T,-523.320556640625,-1672.99719238281
-709.774597167969,-1244.89416503906,T,-516.591003417969,-1668.87438964844
-531.650451660156,-1467.03076171875,T,138.799789428711,-2354.89282226562
-998.627502441406,-75.1155471801758,T,-673.716003417969,-346.79443359375
-996.26806640625,-72.3250274658203,T,-803.572814941406,-242.334838867188
-996.26806640625,-72.3250274658203,T,-680.265502929688,-348.585845947266
-997.074768066406,-73.3234176635742,T,-639.604064941406,-379.81591796875
-2351.54736328125,-219.349136352539,T,-1261.47668457031,309.153533935547
-2351.54736328125,-219.349136352539,T,-1269.82861328125,313.957122802734
-2351.54736328125,-219.349136352539,T,-1278.15747070312,318.853546142578
-2338.158203125,-64.9808044433594,T,-1255.46411132812,150.884643554688
-2338.01000976562,-65.6102447509766,T,-1255.5849609375,151.488784790039
-2311.41259765625,-266.255554199219,T,-1317.58679199219,212.890686035156
-2308.5927734375,-272.134185791016,T,-1317.58679199219,212.890686035156
-2195.78735351562,113.241302490234,T,-1969.23205566406,768.838439941406
-632.812744140625,-1377.81811523438,T,-673.969604492188,-430.850372314453
-631.631164550781,-1378.37951660156,T,-680.312194824219,-431.695220947266
-877.355041503906,-2532.73193359375,T,93.563606262207,-1424.57250976562
-544.162353515625,-1447.71154785156,T,63.4522743225098,-2122.31616210938
-544.365844726562,-1447.88952636719,T,63.5690841674805,-2122.80224609375
-544.365844726562,-1447.88952636719,T,62.6553840637207,-2120.2724609375
-544.365844726562,-1447.88952636719,T,60.4911994934082,-2114.71508789062
-543.028381347656,-1449.38757324219,T,56.6093292236328,-2106.08154296875
-815.30859375,-2545.00170898438,T,-712.587646484375,-1040.96740722656
-809.8759765625,-2545.3955078125,T,-699.72705078125,-1050.00439453125
-810.105041503906,-2545.37915039062,T,-692.268005371094,-1051.81506347656
-380.728363037109,-2394.99462890625,T,-122.389945983887,-2406.71215820312
-1969.31994628906,710.479797363281,T,-1413.83239746094,783.266906738281
-1969.31994628906,710.479797363281,T,-1413.83239746094,783.266906738281
-1969.31994628906,710.479797363281,T,-1413.83239746094,783.266906738281
-1969.31994628906,710.479797363281,T,-1413.83239746094,783.266906738281
-1969.31994628906,710.479797363281,T,-1413.83239746094,783.266906738281
-1882.72399902344,-642.212890625,T,-1969.025390625,-172.322341918945
-738.819274902344,149.270965576172,T,-1917.82397460938,492.5478515625
-1991.10510253906,-394.973297119141,T,-1543.54858398438,792.256286621094
-989.961303710938,107.322158813477,T,-1280.42419433594,333.636260986328
150.999176025391,-1914.00207519531,T,-347.364410400391,-1846.57092285156
399.96875,26.0635604858398,T,390.383056640625,366.058197021484
298.389282226562,-823.970153808594,T,-674.6826171875,-756.235229492188
297.851287841797,-849.595153808594,T,-665.325622558594,-702.150634765625
297.614990234375,-850.856994628906,T,-664.128356933594,-693.427185058594
292.277221679688,-883.278137207031,T,-662.381713867188,-684.341613769531
366.483978271484,-827.783020019531,T,399.170562744141,259.301452636719
270.061553955078,-921.575134277344,T,-598.682312011719,-692.633544921875
268.292541503906,-928.581787109375,T,-593.915283203125,-674.724182128906
268.671142578125,-927.320251464844,T,-593.357055664062,-672.818664550781
150.968963623047,-2071.99853515625,T,-76.9648818969727,-1853.95764160156
150.968963623047,-2071.99853515625,T,-320.190704345703,-1626.66003417969
150.968963623047,-2071.99853515625,T,-77.3634414672852,-1860.41345214844
150.968963623047,-2071.99853515625,T,-324.4208984375,-1629.89599609375
-763.129516601562,-2096.68188476562,T,-338.410705566406,-1635.81408691406
150.968963623047,-2071.99853515625,T,-340.467926025391,-1634.56689453125
150.968963623047,-2071.99853515625,T,-342.445678710938,-1633.04760742188
-663.805358886719,-2238.30908203125,T,91.7406539916992,-1429.37866210938
-664.081237792969,-2238.04248046875,T,104.440994262695,-1432.67907714844
-154.738693237305,-2053.62670898438,T,101.231491088867,-1435.71228027344
-116.664352416992,-1753.28955078125,T,167.5859375,-1713.73327636719
-116.796005249023,-1752.4677734375,T,167.048568725586,-1710.94567871094
-116.95768737793,-1751.13598632812,T,166.291076660156,-1707.30444335938
-592.732421875,-1581.5634765625,T,82.7892303466797,-2129.8525390625
-117.153587341309,-1749.52062988281,T,165.694122314453,-1704.6259765625
-593.726318359375,-1582.7763671875,T,82.5242691040039,-2124.51782226562
-598.112487792969,-1588.10375976562,T,82.3285675048828,-2110.12133789062
-600.173400878906,-1590.68481445312,T,83.6821823120117,-2107.75073242188
-602.303527832031,-1593.36706542969,T,84.6562423706055,-2106.6845703125
-373.943359375,-1594.1875,T,168.80012512207,-1711.45190429688
-1253.13854980469,-1339.91467285156,T,-374.081726074219,-1741.66577148438
-1253.5263671875,-1340.76672363281,T,-373.489135742188,-1740.64733886719
-1254.13195800781,-1342.08996582031,T,-372.743957519531,-1739.36791992188
-1254.85131835938,-1343.66491699219,T,-371.865997314453,-1737.85656738281
-1268.24072265625,-1373.76684570312,T,100.82869720459,-1947.60083007812
-1301.61804199219,-1161.61584472656,T,-782.144287109375,-1589.68542480469
-1302.36853027344,-1162.53442382812,T,-783.268493652344,-1586.87145996094
-1302.3427734375,-1162.5029296875,T,-783.990234375,-1584.580078125
-1302.73046875,-1162.99291992188,T,-783.97314453125,-1584.98107910156
-1216.35913085938,-2496.99438476562,T,114.605857849121,-1699.10681152344
-1216.35913085938,-2496.99438476562,T,108.284873962402,-1705.10388183594
-1441.79748535156,-2389.2509765625,T,-141.404159545898,-2264.13305664062
-777.555847167969,-2088.2109375,T,-413.111755371094,-1878.40771484375
-777.425170898438,-2088.1865234375,T,-411.591247558594,-1875.59106445312
